tavg_mean,tmin_mean,tmin_peak,tmax_mean,tmax_peak,prcp_sum,wspd_mean,pres_mean,Month,TotalConsumption_electric,TotalCost_electric,UsagePeriodDays_electric,TotalConsumption_gas,TotalCost_gas,UsagePeriodDays_gas
8.76,4.506666666666666,-0.5,13.41,23.9,82.1,19.316666666666666,1017.1692307692308,2014-04-01,10762806.75,1060906.95,30.39625167336011,618382.62,842338.62,31.39142091152815
14.490322580645161,10.558064516129033,6.1,19.10967741935484,29.4,72.7,15.990322580645161,1015.92,2014-05-01,11430292.75,1094309.42,31.065237945162306,328470.7,487066.13,30.24507042253521
20.063333333333333,15.613333333333333,10.6,24.766666666666666,31.7,66.60000000000001,15.729999999999999,1015.6517241379311,2014-06-01,12053383.25,1096904.08,31.005735492577596,254390.72,430453.7,30.082262210796916
23.12258064516129,18.88064516129032,15.0,27.858064516129033,33.3,116.1,16.538709677419355,1014.7518518518518,2014-07-01,14758068.25,1267447.81,29.707480916030534,220244.24000000002,485023.53,30.268156424581004
21.309677419354838,17.348387096774193,14.4,25.751612903225805,32.8,44.5,14.441935483870967,1016.05,2014-08-01,11575218.79,1066750.33,30.142718446601943,267236.47000000003,616633.13,29.943243243243245
18.86,14.596666666666666,7.8,23.423333333333336,33.9,17.9,14.386666666666665,1019.4655172413793,2014-09-01,13157183.79,1179106.18,30.026580226904375,378284.21,425717.45,30.554945054945055
13.464516129032257,9.858064516129033,3.9,17.200000000000003,27.2,148.4,17.883870967741935,1013.3633333333333,2014-10-01,12376619.29,1235229.69,30.402656300615483,811296.68,951860.39,30.469333333333335
5.916666666666667,1.9633333333333334,-4.9,9.726666666666667,18.9,133.9,17.62,1016.2571428571429,2014-11-01,11043665.29,1242865.83,31.373530399731273,1117087.58,1341614.07,31.557275541795665
3.564516129032258,0.43225806451612897,-7.7,6.519354838709678,17.8,166.9,17.81935483870968,1019.4866666666666,2014-12-01,12938664.54,1678757.06,31.4918648310388,1845788.92,2186938.11,31.47872340425532
-3.1516129032258067,-7.132258064516129,-18.2,0.6709677419354839,11.1,90.6,19.883870967741935,1017.7857142857143,2015-01-01,12609817.54,1926539.73,29.467741935483872,1952712.59,2168228.61,29.583098591549295
